SampleID,Chao1,se.chao1,Shannon,Chao1_strict_sqrt,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,W_density,Per_WSG_loss,Termi.assum,Blue_Staining,Brown_Rot,Hypogeous,Poisonous,Soft_Rot,Soft_Rot.fungus_Seehann_et_al_1975.,White_Rot,Unassigned,Pathogen.Saprotroph.Symbiotroph,Pathotroph,Pathotroph.Saprotroph,Pathotroph.Saprotroph.Symbiotroph,Pathotroph.Symbiotroph,Saprotroph,Saprotroph.Pathotroph.Symbiotroph,Saprotroph.Symbiotroph,Symbiotroph
MD201,301,8.945273136,3.178277103,17.34935157,3,Mature_forest,365,1,7122,18mo,Litsea_cubeba,down,7122,29/10/2011,0.667748817,0.390276571,Coll_4,22/06/2013,1.277777778,0.298578199,,0.352562216,23.4957409,0,0,1058,0,1,530,0,72,15583,1,2807,36,1718,2179,5865,0,59,162
MD203,441.1176471,15.48908056,3.27161451,21.00280093,3,Mature_forest,365,3,7124,18mo,Litsea_cubeba,down,7124,29/10/2011,0.667748817,0.390276571,Coll_4,22/06/2013,0.740740741,0.252336449,,0.352562216,35.3441975,0,0,7,8,0,360,1,212,7970,195,1233,165,727,10933,10077,0,25,153
MD204,447.5660377,14.29565896,3.438946794,21.15575661,3,Mature_forest,365,9,7125,18mo,Litsea_cubeba,down,7125,29/10/2011,0.667748817,0.390276571,Coll_4,22/06/2013,1.982352941,0.357142857,,0.352562216,8.4898035,0,3,10,0,0,5299,0,1709,5717,1,145,82,214,712,9092,0,82,198
MD205,575.0833333,27.52961817,3.370386723,23.98089517,3,Mature_forest,365,7,7119,18mo,Litsea_cubeba,down,7119,29/10/2011,0.667748817,0.390276571,Coll_4,22/06/2013,0.247706422,0.300275482,,0.352562216,23.0608486,1,1,0,13,0,5403,0,198,16310,5272,451,547,401,127,4260,0,582,267
MD206,23,2.873332325,1.02229454,4.795831523,L,Mature_forest,365,7,7283,18mo,Castanopsis_mekongensis,down,7283,29/10/2011,0.792959296,0.734159835,Coll_4,22/06/2013,0.632958801,0.455631399,,0.628239685,37.938392,1,0,0,0,0,0,0,0,1728,0,17,4,13,8,45,0,0,0
MD207,260.1842105,18.71081,3.448343655,16.13022661,N,Mature_forest,365,3,7294,18mo,Castanopsis_mekongensis,down,7294,29/10/2011,0.687241094,0.69415689,Coll_4,22/06/2013,0.781456954,0.436416185,,0.588120645,37.1300363,0,27,0,12,0,45,0,49,1475,0,160,32,363,4,752,0,46,30
MD209,44.5,10.53085355,1.769194012,6.670832032,N,Mature_forest,365,9,7293,18mo,Castanopsis_mekongensis,down,7293,29/10/2011,0.687241094,0.69415689,Coll_4,22/06/2013,0.781609195,0.54375,,0.588120645,21.6675642,0,0,0,0,0,3,0,0,148,0,0,52,2,267,6413,0,0,0
MD21,250,6.004015277,3.021017533,15.8113883,16,Regenerating_forest,58,1,7318,18mo,Litsea_cubeba,down,7318,05/11/2011,1.200681721,0.395367446,Coll_4,30/05/2013,4.875,0.192771084,,0.359211785,51.2425499,1,0,0,0,10,136,0,78,6018,0,2905,271,153,189,14396,0,5,201
MD210,116.3636364,17.51539911,2.582728127,10.7871978,N,Mature_forest,365,1,7291,18mo,Castanopsis_mekongensis,down,7291,29/10/2011,0.687241094,0.69415689,Coll_4,22/06/2013,0.447619048,0.561497326,,0.588120645,19.1108906,0,0,0,0,0,1,0,6,1110,0,844,19,96,22,187,0,31,4
MD211,208,15.80311699,2.533745979,14.4222051,10,Regenerating_forest,372,1,7170,18mo,Litsea_cubeba,down,7170,25/11/2011,1.0867937,0.326324491,Coll_4,18/06/2013,3.962264151,0.202676864,,0.225638094,37.8910043,0,0,0,0,0,7,0,23,649,4,31,85,41,81,3608,0,2,41
